통계표명:,시도별 인구,,,,,
단위:,천 명,,,,,
,,2018,2019,2020,2021,2022
전국,,51585,51765,51836,51770,51673
시도별,서울,9697,9657,9618,9508,9421
,부산,3403,3381,3356,3334,3303
,대구,2449,2437,2414,2396,2372
,인천,2936,2952,2951,2950,2975
,광주,1488,1489,1480,1476,1470
,대전,1513,1503,1492,1482,1472
,울산,1153,1146,1139,1125,1114
,세종,302,329,348,361,380
,경기,13027,13241,13452,13611,13690
,강원,1521,1520,1519,1520,1527
,충북,1618,1629,1631,1626,1623
,충남,2177,2189,2177,2175,2186
,전북,1823,1812,1806,1792,1777
,전남,1796,1793,1793,1785,1775
,경북,2675,2671,2652,2641,2626
,경남,3351,3350,3340,3315,3287
,제주,655,664,669,672,675
출처:,통계청 2024년「장래인구추계(시도편): 2022~2052년」,,,,,
