날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
"	1996-04-01",서울경기,4.7,1.8,8.6
"	1996-04-02",서울경기,3.3,-0.1,7.3
"	1996-04-03",서울경기,3.9,0.3,8.3
"	1996-04-04",서울경기,5.1,0.2,10
"	1996-04-05",서울경기,7.3,2.1,13.7
"	1996-04-06",서울경기,6.2,3.6,10.6
"	1996-04-07",서울경기,7.2,4.6,11.1
"	1996-04-08",서울경기,8.5,2.2,15.2
"	1996-04-09",서울경기,9,4.3,14.1
"	1996-04-10",서울경기,7.5,4.2,12.1
"	1996-04-11",서울경기,6.4,1.3,11.3
"	1996-04-12",서울경기,6.6,0.5,12.2
"	1996-04-13",서울경기,6.9,0.5,12.2
"	1996-04-14",서울경기,8.2,2.7,13.4
"	1996-04-15",서울경기,8,2.9,14
"	1996-04-16",서울경기,9,4.9,13
"	1996-04-17",서울경기,9.6,5.6,11.8
"	1996-04-18",서울경기,8.4,3.9,13.1
"	1996-04-19",서울경기,8.2,2.3,14.5
"	1996-04-20",서울경기,9.5,3.6,14.8
"	1996-04-21",서울경기,8.6,4.5,13.7
"	1996-04-22",서울경기,11.1,4.7,17
"	1996-04-23",서울경기,12.4,6,18.6
"	1996-04-24",서울경기,13.4,6.3,19.5
"	1996-04-25",서울경기,15.1,10.2,20
"	1996-04-26",서울경기,16,9.7,21.7
"	1996-04-27",서울경기,15.4,11.6,21.1
"	1996-04-28",서울경기,16.3,11.7,21.5
"	1996-04-29",서울경기,15,13.2,17.9
"	1996-04-30",서울경기,14.9,13.4,15.8
"	",,,,
